product_id,name,brand,price_rub,segment,category,ingredients_raw,functional_category,pH,allergens,issues
product_010,Мицеллярная вода с антиоксидантами Siberian Code,Siberian Health,570,бюджет,Мицеллярная вода с активными,"Aqua, Glycerin, Polysorbate 20, Propanediol, Lauryl Glucoside, Sodium Lauryl Glucose Carboxylate, Allantoin, Dipotassium Glycyrrhizate, Lactobacillus Ferment Filtrate/Pinus Sylvestris Bud Extract/Inonotus Obliquus Extract/Vaccinium Vitis-Idaea Fruit Extract/Cladonia Rangiferina Extract/Scutellaria Baicalensis Root Extract, 3-O-Ethyl Ascorbic Acid, Parfum, Caprylhydroxamic Acid, Betaine, Ferulic Acid, Pentylene Glycol, Beta-Glucan, Citric Acid, 1,2-Hexanediol, Sodium Benzoate, Potassium Sorbate, Sclerotium Gum, Sodium Hyaluronate, Astaxanthin, Caprylic/Capric Triglyceride, Fullerenes, Hydrogenated Lecithin, Tetrasodium Glutamate Diacetate, Butylene Glycol, Sodium Hydroxide, Sodium Chloride, Polyglyceryl-10 Diisostearate, PVP, Limonene, Linalool, Citral, Geraniol","Очищение (мицеллярная), антиоксидация (витамин C, феруловая кислота), гидратация",~4.5-5.0 (благодаря Citric Acid буферизации),"Limonene, Linalool, Citral, Geraniol (ФОТОТОКСИЧНЫЕ!), Parfum, Sodium Hydroxide (может повысить pH выше оптимального), Caprylhydroxamic Acid","✅ ХОРОШИЙ pH (~4.5-5.0). ✅ Витамин C (Ethyl Ascorbic Acid, стабилизирован, работает). ✅ Феруловая кислота (синергия с витамином C). ✅ Ферментированный комплекс (хорошая идея). 🚨 ФОТОТОКСИЧНЫЕ МАСЛА (Limonene, Linalool, Citral, Geraniol) — ❌ НЕ ДЛЯ ДНЕВНОГО ИСПОЛЬЗОВАНИЯ! ⚠️ Фуллерены (0.05%) — МАРКЕТИНГ. Концентрация микроскопическая, функционально бесполезна. ⚠️ Астаксантин (0.05%) — тоже микродоза. ⚠️ Sodium Hydroxide может повысить pH выше буферизации. 📌 ВЕРДИКТ: Хороший состав (витамин C + феруловая кислота), но ТОЛЬКО для вечера из-за фототоксичных масел. Фуллерены + астаксантин = маркетинг обман. Цена 2.85₽/мл разумна."
product_011,Пенка увлажняющая с сибирскими эндемиками,Siberian Health,520,бюджет,Пенка для очищения,"Aqua, Aloe Barbadensis Leaf Juice, Anthemis Nobilis Flower Water, Glycerin, Disodium Cocoyl Glutamate, Cocamidopropyl Hydroxysultaine, Inulin, Lippia Citriodora Leaf Water, L-Lactic Acid, Sodium PCA, Galactoarabinan, Benzyl Alcohol, Betaine, Eleutherococcus Senticosus Root Extract, Rhaponticum Carthamoides Root Extract, Scutellaria Baicalensis Extract, Rhododendron Adamsii Extract, Rhodiola Quadrifida Extract, Plantago Major Leaf Extract, Tilia Americana Flower Extract, Sodium Benzoate, Benzoic Acid, Trisodium Ethylenediamine Disuccinate, Dehydroacetic Acid, Sodium Chloride, Parfum, Maltodextrin, Potassium Sorbate, Citric Acid","Мягкое очищение, мягкий микропилинг (лактическая кислота), успокаивание, гидратация, пребиотический комплекс",~4.0-4.5 (из-за L-lactic acid),"Benzyl Alcohol (консервант-раздражитель), Benzoic Acid + Dehydroacetic Acid (двойная консервация), Parfum, Citral (из гидролата вербены, фототоксичен)","✅ Хорошие мягкие ПАВ. ✅ Алоэ вера (много, работает). ✅ Лактическая кислота мягкая. ✅ Инулин (пребиотик, как в Bioderma Sensibio). ✅ Сибирские растения (хорошее добавление). ⚠️ Benzyl Alcohol (консервант, может раздражать). ⚠️ Двойная консервация (Benzoic Acid + Dehydroacetic Acid) — может быть избыточной. ⚠️ Citral (фототоксичен, хотя микроконцентрация в гидролате вербены). 📌 ВЕРДИКТ: Хороший состав, честный. Похож на VT Cica (успокаивающее), но дешевле (3.47₽/мл). Хороший выбор для всех типов кожи."
product_012,Мягкий гель с пробиотиками Experalta Platinum,Siberian Health,900,бюджет,Очищающий гель с пробиотиками,"Aqua, Cocamidopropyl Betaine, Sodium Cocoyl Isethionate, Decyl Glucoside, Glycol Distearate, Inulin, Betaine, Allantoin, Alpha-Glucan Oligosaccharide, Glycereth-26, Glycerin, Lactococcus Ferment Lysate, Guar Hydroxypropyltrimonium Chloride, Glucomannan, Benzyl Alcohol, Lactic Acid, Ganoderma Lucidum (Lingzhi Mushroom) Extract, Glyceryl Laurate, Parfum, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Sodium Chloride","Мягкое очищение, мягкий микропилинг (лактическая кислота), пробиотический комплекс (пребиотики + пробиотик-лизат), противовоспаление",~4.0-4.5 (из-за Lactic Acid),"Benzyl Alcohol (консервант), Parfum, Guar Hydroxypropyltrimonium Chloride (кондиционер, может быть раздражителем)","✅ Отличные мягкие ПАВ (три вместе). ✅ Пребиотик-пробиотик комплекс (Inulin + Alpha-Glucan + Lactococcus Lysate, редко встречается). ✅ Чага (Ganoderma Lucidum, противовоспаление). ✅ Лактическая кислота мягкая. ⚠️ Benzyl Alcohol (консервант). ⚠️ Guar Hydroxypropyltrimonium Chloride (кондиционер, может раздражать sensitive). ⚠️ Пробиотик-ЛИЗАТ (мёртвые бактерии) — есть дебат, работают ли лизаты как живые пробиотики. 📌 ВЕРДИКТ: Интересный состав с пребиотиками + пробиотик-лизатом. Цена 9.00₽/мл высока для очищающего, но за инновацию можно простить. Хороший выбор."
product_013,Гель с омега-кислотами и сибирскими эндемиками,Siberian Health,440,бюджет,Очищающий гель с омега-маслами,"Aqua, Cocamidopropyl Betaine, Sodium Cocoamphoacetate, Decyl Glucoside, Carbomer, Sodium Citrate, Glycerin, Linum Usitatissimum (Linseed) Seed Extract, Hippophae Rhamnoides (Sea-Buckthorn) Fruit Oil, Camelina Sativa (Camelina) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Betaine, Beta-Carotene, Parfum, Scutellaria Baicalensis Extract, Eleutherococcus Senticosus Root Extract, Helianthus Annuus (Sunflower Seed) Oil, Benzyl Alcohol, Sodium Hydroxide, Glyceryl Laurate, Rhaponticum Carthamoides Root Extract, Rhodiola Quadrifida Extract, Rhododendron Adamsii Extract, Tocopherol, Sodium Benzoate, Potassium Sorbate","Мягкое очищение, питание (омега-масла), антиоксидация (витамин E + каротин), противовоспаление (сибирские растения)",~5.0-5.5 (благодаря Sodium Citrate + Carbomer буферизации),"Parfum, Benzyl Alcohol (консервант), Sodium Hydroxide (может повысить pH)","✅ ОТЛИЧНЫЕ мягкие ПАВ (три штуки). ✅ pH-буферизация (Sodium Citrate, хорошо). ✅ Омега-масла (работают, питают). ✅ Витамин E + каротин (антиоксиданты). ✅ Сибирские растения (полезны). ⚠️ Benzyl Alcohol (консервант). ⚠️ Масла могут оставить плёнку на коже (зависит от типа). ⚠️ Carbomer (гелирующий полимер) может быть раздражителем для очень sensitive. 📌 ВЕРДИКТ: ХОРОШИЙ выбор! Лучший ratio цена/качество из Siberian Health. Хорош для сухой/комбинированной кожи. Цена 2.20₽/мл — справедлива."
product_014,Фитобиотоник увлажняющий,Pleyana,1152,мидл,Тоник/Эссенция,"Aqua, Ginseng Extract, Apple Juice, Peach Juice, Wheat Extract, Barley Seed Extract, Betaine, Sodium PCA, Sorbitol, Serine, Glycine, Glutamic Acid, Alanine, Lysine, Arginine, Threonine, Proline, PEG-40 Hydrogenated Castor Oil, Poloxamer 124, Benzyl Alcohol (and) Glyceryl Laurate, Sapindus Mukurossi Peel Extract, Parfum","Гидратация, успокаивание, адаптоген, мультиуход","Неизвестен (вероятно 5-6, так как для всех типов)","Benzyl Alcohol (консервант, может раздражать чувствительную кожу), Fragrance (неизвестный аллергич потенциал), Sapindus (натуральный компонент, редко)","⚠️ pH не указан; Benzyl Alcohol раздражитель; Fragrance — не INCI; невысокая концентрация активных (скорее увлажнитель, чем терапия)"
product_015,b.moisture,8.1.8 Beauty Formula,562,бюджет,Увлажняющий гель-крем,"Aqua, Glycerine, Bis-PEG-15 Methyl Ether Dimethicone, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, Hydrolyzed Yeast Protein, Butylene Glycol, Pentylene Glycol, Squalane, PEG-40 Hydrogenated Castor Oil, Urea, Allantoin, Tephrosia Purpurea Seed Extract, Magnesium Ascorbyl Phosphate, Bisabolol, Citric Acid, Triethanolamine, Coco-Glucoside, Safflower Seed Oil Polyglyceryl-4 Esters, Thermal Water, Tocopheryl Acetate, Centella Asiatica Leaf Extract, Dehydroacetic Acid, Benzyl Alcohol, Parfum, Chlorophyll, Disodium EDTA, Copernicia Cerifera (Carnauba) Wax","Восстановление барьера (керамиды), гидратация (мочевина + Glycerin), укрепление (Centella), мягкое осветление (витамин C)",~5.5 (благодаря Citric Acid + Triethanolamine буферизации),"Benzyl Alcohol (консервант), Dimethicone (силикон), Dehydroacetic Acid (консервант), Parfum, Copernicia Wax (может быть аллергеном)","✅ ОТЛИЧНЫЙ СОСТАВ: керамидная триада (NP, AP, EOP), холестерин, фитосфингозин = идеальная система восстановления барьера. ✅ Витамин C (стабилизированный). ✅ Мочевина (сильный увлажнитель). ✅ pH идеален (5.5). ✅ Цена отличная (2.81₽/мл за такой состав!). ⚠️ Benzyl Alcohol (консервант, может раздражать). ⚠️ Dimethicone (силикон, может оставить пленку на очень sensitive). 📌 ВЕРДИКТ: ЛУЧШИЙ ratio цена/качество из всех тоников! Керамиды + витамин C + мочевина = профессиональный состав. Рекомендовать как базовый увлажняющий гель-крем."
product_017,Dr.Apple-Tox Pore,Medi-Peel,4804,люкс,Пилинг-тонер (активный),"Purified water, apple extract (20%), propanediol, glycerin, niacinamide, 1,2-hexanediol, glycereth-26, butylene glycol, panthenol, xylitol glucoside, anhydroxylitol, sodium hyaluronate, xylitol, carbonated water, grape extract, melon extract, watermelon extract, aloe vera extract, cucumber extract, kiwi extract, plum extract, kakadu plum extract, persimmon leaf extract, safflower extract, coffee bean extract, Green tea extract, chestnut bark extract, sancho leaf extract, mandarin orange peel extract, fig extract, mulberry fruit extract, pomegranate extract, ginkgo extract, neem leaf extract, evening primrose extract, elm root extract, king pine leaf extract, arrowroot extract, Mugwort extract, Comfrey leaf extract, Lycopodium extract, Horsetail extract, Yellow Chaste weed extract, Seedaceae dill extract, Port marigold flower extract, Lactobacillus/Pomegranate fermented extract, Lactobacillus/Fermented soybean extract Yeast/barley seed fermentation filtrate, star anise extract, adenosine, polyglyceryl-10 laurate, polyglyceryl-4 laurate, beta-glucan, apanoteke sacrum exopolysaccharide, caprylyl/capryl Glucoside, Disodium EDTA, Pentylene Glycol, Caprylyl Glycol, EthylhexylGlycerin, Yellow No. 4, Blue No. 1, Fragrance","Пилинг (мягкий, ферментативный), пребиотический комплекс (ферментированные), гидратация, успокаивание, антиоксидация (40+ экстрактов)",~5.5 (благодаря Glycerin + буферизации),"Цветные пигменты (Yellow No. 4, Blue No. 1) — могут окрасить кожу, Mandarin Orange (фототоксичен если есть масло), Fragrance, множество растительных экстрактов (редко аллергия, но возможна)","✅ ИННОВАТИВНЫЙ СОСТАВ: 20% Apple Extract (маска!) + ферментированные комплексы (редко встречается). ✅ 40+ растительных экстрактов (спектр антиоксидантов огромен). ✅ pH ~5.5 (мягко). ✅ Большой объем (500мл) за цену (9.61₽/мл хорошо). ⚠️ МАРКЕТИНГ: ""Dr.Apple-Tox"" звучит как 30-дневный курс, но это просто тонер. ⚠️ Цветные пигменты (может окрасить кожу). ⚠️ Mandarin Orange (если эфирное масло, то фототоксично). ⚠️ 40+ экстрактов = высокий риск аллергии на что-то. 📌 ВЕРДИКТ: Интересный состав, но маркетинг-ориентирован (""Dr.Apple"", ""Miracle""). Лучше для опытных пользователей. pH мягкий, поэтому можно ежедневно."
product_018,Refresh AHA BHA Vitamin C Daily Toner,COSRX,1510,мидл,Тонер-эксфолиант,"Actinidia Chinensis (Kiwi) Fruit Extract, Hylocereus Undatus Fruit Extract, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Ethyl Hexanediol, Sodium Lactate, Water, Glycolic Acid, Allantoin, Panthenol, Adenosine, Betaine Salicylate, Ascorbyl Glucoside","Пилинг (двойной: AHA+BHA), осветление (витамин C), гидратация, успокаивание",3.0-3.5 (низкий pH для эффективности AHA),"Glycolic Acid (может раздражать), Ascorbyl Glucoside (витамин C), фруктовые экстракты (редко), Panthenol (успокаивает)","✅ ХОРОШИЙ СОСТАВ: двойной пилинг (AHA+BHA) + витамин C + Niacinamide (смягчение раздражения). ✅ Низкий pH (3.0-3.5) идеален для кислот. ✅ Фруктовые экстракты (киви, питахая) добавляют антиоксиданты. ⚠️ КРИТИЧНО: Это АКТИВНЫЙ пилинг, НЕ для ежедневного использования! Максимум 2-3x в неделю вечером. 🚨 КОНФЛИКТЫ: ❌ Нельзя в один день с Retinol, другими пилингами, витамином C отдельно. 📌 ВЕРДИКТ: Отличный продукт для жирной/проблемной кожи, опытные пользователи. НЕ для новичков, НЕ для sensitive."
product_019,AHA-BHA-PHA 30 Days Miracle Serum,Some By Mi,1414,мидл,Сыворотка с кислотами,"Water, Centella Asiatica Extract, Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Glycerin, Olea Europaea (Olive) Fruit Oil, Propanediol, Alcohol, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Water, Sodium Chloride, Citrus Paradisi (Grapefruit) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta Leaf Extract, Ethylhexylglycerin, Melia Azadirachta Flower Extract, Disodium EDTA, Gaultheria Procumbens (Wintergreen) Leaf Extract, Xanthan Gum, Lactobionic Acid, Pelargonium Graveolens Flower Oil, Boswellia Carterii Oil, Pentylene Glycol, Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Camellia Sinensis Leaf Extract, Amyris Balsamifera Bark Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Moringa Oleifera Seed Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Camellia Sinensis Seed Oil, Oryza Sativa (Rice) Bran Oil, Ocimum Sanctum Leaf Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Caprylyl Glyc...","Пилинг (мягкий, PHA), противовоспаление, питание (масла), антибактериальное действие, успокаивание",~4.0-4.5 (из-за Lactobionic Acid + Alcohol),"Множество эфирных масел (Grapefruit, Orange, Geranium, Wintergreen, Boswellia, Amyris) — ФОТОТОКСИЧНЫ!, Alcohol (спирт, может раздражать), Ethylhexylglycerin, Citrus масла","✅ ОТЛИЧНЫЙ СОСТАВ: PHA (мягкий пилинг), Centella (успокаивает), масла (питание). ✅ ""30 Days Miracle"" = концепция постепенного использования (не агрессивна). ⚠️ КРИТИЧНО: 20+ эфирных масел (Grapefruit, Orange, Geranium, Wintergreen) = ФОТОТОКСИЧНОСТЬ! ❌ НЕ ДЛЯ ДНЕВНОГО ИСПОЛЬЗОВАНИЯ БЕЗ SPF 50+++! ⚠️ Alcohol в составе (может раздражать). 🚨 КОНФЛИКТЫ: Нельзя с витамином C отдельно (кислотный конфликт). ⚠️ ДОРОГО (28.28₽/мл за 50мл). 📌 ВЕРДИКТ: Хороший PHA-тонер для постепенного введения кислот (отсюда ""30 Days""). Но фототоксичен! ТОЛЬКО вечер. Хорошее соотношение активных + питания."
product_020,Hydrabio Moisturising Toning Lotion,Bioderma,1735,мидл,Увлажняющий тонер,"QUA/WATER/EAU, GLYCERIN, POLYSORBATE 20, DISODIUM EDTA, NIACINAMIDE, XYLITOL, ALLANTOIN, FRUCTOOLIGOSACCHARIDES, MANNITOL, HEXYLDECANOL, SODIUM HYDROXIDE, CITRIC ACID, RHAMNOSE, PYRUS MALUS (APPLE) SEED EXTRACT, BRASSICA CAMPESTRIS (RAPESEED) STEROLS, TOCOPHEROL, CETRIMONIUM BROMIDE, FRAGRANCE (PARFUM). [BI 532]","Гидратация (пребиотики + Glycerin), успокаивание (стеролы + Niacinamide), pH-буферизация",~5.5 (благодаря Citric Acid + Sodium Hydroxide балансу),"Отсутствуют типичные раздражители (отличная гипоаллергенность!), только Fragrance (неизвестный), Polysorbate 20 (редко раздражает), Cetrimonium Bromide (консервант, мягкий)","✅ ОТЛИЧНЫЙ СОСТАВ: пребиотический комплекс (как в Bioderma Sensibio). ✅ pH идеален (5.5). ✅ Отсутствуют агрессивные консерванты. ✅ Для sensitive кожи (Bioderma специализируется на этом). ✅ Хорошее увлажнение (Glycerin + пребиотики). ⚠️ НЕ пилинг-тонер (это просто увлажняющий тонер). ⚠️ Не содержит активные кислоты (для тех, кто ищет эксфолиацию). 📌 ВЕРДИКТ: ОТЛИЧНЫЙ тонер для sensitive/воспаленной кожи. Безопасен ежедневно. Лучше, чем COSRX для sensitive."
product_021,Lotion Tonique Éclat,PAYOT,1020,мидл,Тоник/Эссенция,"Aqua, Glycerin, Butylene Glycol, Polysorbate 20, Citrus Aurantium Amara (Bitter Orange) Flower Water, Chlorphenesin, Parfum, Xanthan Gum, Sodium Hydroxide, Citric Acid, Gossypium Hirsutum Seed Extract, Tropaeolum Majus Flower/Leaf/Stem Extract, Pentylene Glycol, Sodium Benzoate, Potassium Sorbate","Увлажнение, тонизирование, освежение",~5.0-5.5 (благодаря Citric Acid + Sodium Hydroxide буферизации),"Citrus Aurantium (фототоксичен только в форме эфирного масла, здесь вода = безопасна), Chlorphenesin, Parfum","✅ ПРОСТОЙ, ЧЕСТНЫЙ СОСТАВ. ✅ pH контролируется правильно. ✅ Горькооранжевая вода (традиционный ингредиент, работает). ✅ Хорошее увлажнение (Glycerin + Butylene Glycol). ⚠️ Chlorphenesin (консервант, может раздражать при sensitive). ⚠️ Цена 5.10₽/мл разумна. 📌 ВЕРДИКТ: Хороший базовый тоник для всех типов кожи. Не маркетинг, простой и честный."
product_022,Vinoclean Moisturizing Toning Lotion,Caudalie,1012,мидл,Увлажняющий тоник,"Aqua, Butylene Glycol, Rosa Damascena Flower Water, Saccharide Isomerate, Methylpropanediol, Sodium Benzoate, Caprylyl Glycol, Citric Acid, Phenylpropanol, Sodium Carboxymethyl Beta-Glucan, Sodium Citrate","Увлажнение, успокаивание, тонизирование, легкий укрепляющий эффект",~5.0-5.5 (Citric Acid + Sodium Citrate),"Phenylpropanol (консервант, редко раздражает), Sodium Benzoate, отсутствуют типичные раздражители","✅ КАЧЕСТВЕННЫЙ СОСТАВ. ✅ Розовая вода (классическая, работает). ✅ Saccharide Isomerate (редко встречается, хороший увлажнитель). ✅ Beta-Glucan (иммуномодулятор). ⚠️ Маленький объём (100мл за 1012₽ = дорого). ⚠️ Цена 10.12₽/мл высока. 📌 ВЕРДИКТ: Люкс-тоник с хорошим составом, но дорого за объём."
product_023,Sensibio Успокаивающий тоник,Bioderma,2283,мидл,Успокаивающий тоник,"Aqua, Glycerin, Xylitol, Polysorbate 20, Mannitol, Rhamnose, Fructooligosaccharides, Cucumis Sativus (Cucumber) Fruit Extract, Peg-40 Hydrogenated Castor Oil, Allantoin, Propylene Glycol, Disodium EDTA, Cetrimonium Bromide, Sodium Hydroxide, Citric Acid","Восстановление микробиома, увлажнение, успокаивание, pH буферизация",~5.0-5.5,"Пропиленгликоль (может раздражать при sensitivity), отсутствуют типичные раздражители (нет Fragrance, очень гипоаллергенен)","✅ ОТЛИЧНЫЙ СОСТАВ. ✅ Пребиотический комплекс (как в Bioderma Sensibio очищающем). ✅ Огурец (мягко успокаивает). ✅ Allantoin (заживляет). ✅ pH правильный. ⚠️ Дорого (9.13₽/мл). ❌ Нет гиалуроната (только пребиотики для гидратации). 📌 ВЕРДИКТ: TOP для sensitive/воспаленной кожи. Лучший состав из всех тоников. Дорогой, но оправдано."
product_024,Forever Young Balancing Toner,Christina,3320,люкс,Пилинг-тоник с AHA/BHA,"Hexylene Glycol, Chlorphenesin, Caprylyl Glycol, Glycolic Acid, Lactic Acid, Sodium Hydroxide, Propylene Glycol, Fragrance, Deionized Water, Phenoxyethanol, Quillaja Saponaria Bark Extract, Saponaria Officinalis Leaf Extract, Hamamelis Virginiana Water, Polysorbate-20, Decyl Glucoside, Blue-1 (CI 42090), Yellow No. 10 (CI 47005), Red No. 33 (CI 17200)","Пилинг (AHA комбинация), очищение пор, противовоспаление","3.2-3.7 (по заявлению, очень кислое для AHA)","Glycolic Acid + Lactic Acid (раздражители!), Phenoxyethanol, цветные пигменты (могут окрашивать), Fragrance","🚨 ЭТО АКТИВНЫЙ ПИЛИНГ, НЕ ТОНИК! ✅ pH правильный для AHA (3.2-3.7). ✅ Двойной AHA (гликолевая + лактическая = мощный пилинг). ⚠️ ОЧЕНЬ раздражающий (не для ежедневного использования). ⚠️ Цветные пигменты (Blue-1, Yellow 10, Red 33) могут окрасить кожу или вызвать аллергию. ⚠️ Дорого (11.07₽/мл за активный пилинг). 📌 ВЕРДИКТ: УСЛОВНО для опытных пользователей. 2-3x в неделю вечером только. НЕ для новичков, sensitive."
product_025,Face Tonic Moisturizing,Tony Morris,774,бюджет,Тоник с AHA/BHA,"Water, Panthenol, Chlorhexidine Digluconate, Berberis Aouifolium (Mahonia Aquifolium) Extract, Rosa Centifolia Flower Extract, Camellia Sinensis (Green Tea) Leaf Extract, AHA, BHA, Citric Acid, Lactic Acid, Perfume","Увлажнение, мягкий пилинг (AHA+BHA), успокаивание, антиоксидация",~4.0-4.5 (из-за Lactic Acid + Citric Acid),"Chlorhexidine Digluconate (консервант, может раздражать), AHA+BHA (раздражители), Fragrance","⚠️ НЕПОЛНАЯ ИНФОРМАЦИЯ: AHA и BHA указаны БЕЗ INCI названия и концентраций! ⚠️ Это заявлено, но неизвестно сколько. ⚠️ Chlorhexidine Digluconate (консервант-раздражитель, часто вызывает контактный дерматит). ✅ Panthenol, Mahonia, зеленый чай хороши. 📌 ВЕРДИКТ: ПОДОЗРИТЕЛЬНО. Неполная информация о кислотах. Консервант раздражающий. Цена 3.87₽/мл низкая, но за неизвестный состав. НЕ рекомендовать без более подробной информации."
product_026,Exfoliating Toner,Krygina Cosmetics,1619,мидл,Пилинг-тоник AHA,"Water, Glycerin, Propylene Glycol, Phenoxyethanol (And) Ethylhexylglycerin, Polysorbate-20, Lactic Acid, Malic Acid, Glycolic Acid, Panthenol, Allantoin, Lotus Japonicus Extract, Hamamelis Extract, Citric Acid, Parfum","Пилинг (тройной AHA), осветление, себорегуляция",3.0-3.5 (очень кислое),"Phenoxyethanol + Ethylhexylglycerin (двойная консервация), Glycolic Acid (может раздражать), Parfum","✅ ОТЛИЧНЫЙ АХА КОМПЛЕКС (три кислоты). ✅ pH правильный (3.0-3.5 для AHA). ⚠️ ТРОИЧНЫЙ ПИЛИНГ (Лактическая + Гликолевая + Яблочная) = МОЩНЫЙ! ⚠️ Растительные экстракты минорны. 🚨 КОНФЛИКТЫ: ❌ Retinol в один день, ❌ витамин C отдельно, ❌ другие AHA/BHA. 📌 ВЕРДИКТ: Для опытных только. 2-3x в неделю вечером. Новичкам — слишком агрессивно."
product_027,AHA-Cleansing Tonic,Aravia Laboratories,750,бюджет,Пилинг-тоник AHA,"Aqua, Glycerin, Lactic Acid, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Glycolic Acid, Ananas Sativus Fruit Extract, Citrus Limon Fruit Extract, Punica Granatum Fruit Extract, Vitis Vinifera Fruit Extract, Sodium Hydroxide, Citric Acid, Malic Acid, Hydroxyethylcellulose, Parfum, Ethylhexylglycerin","Пилинг (двойной AHA), осветление (фруктовые кислоты), гидратация",3.5-4.0 (благодаря Citric Acid + Sodium Hydroxide буферизации),"Phenoxyethanol (консервант-раздражитель), Glycolic Acid, фруктовые экстракты (редко), Parfum","✅ ХОРОШИЙ БАЛАНС: двойной AHA + фруктовые кислоты (осветление). ✅ Цена очень хорошая (3.00₽/мл). ✅ pH буферизирован правильно. ⚠️ Phenoxyethanol может раздражать sensitive. ⚠️ Лимонный/апельсиновый экстракты могут быть фототоксичны в концентрациях. 📌 ВЕРДИКТ: ОТЛИЧНОЕ соотношение цена/качество. Лучше, чем Krygina (дешевле в 5x раз). Для опытных пользователей."
product_028,Acid Key,DE_CODE,399,бюджет,Пилинг-тоник (многофункциональный),"Aqua, Glycolic Acid, Pentylene Glycol, Aloe Barbadensis Leaf Juice, Sodium Hydroxide, Gluconolactone, Mandelic Acid, Malic Acid, Citric Acid, Glycyrrhiza Glabra Rhizome/Root Extract, Panthenol, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Parfum, Disodium EDTA, Linalool, Geraniol","Пилинг (AHA+PHA комбинация, мягкий), гидратация, успокаивание, осветление",3.5-4.0 (из-за Glycolic Acid + Citric Acid + Sodium Hydroxide буферизации),"Linalool + Geraniol (из растительных экстрактов, могут быть фототоксичны), Phenoxyethanol, Ethylhexylglycerin (двойная консервация), Parfum","✅ ОТЛИЧНЫЙ ВЫБОР: PHA (гюконолактон) + AHA = мягкий пилинг! ✅ Алоэ + солодка (успокаивают). ✅ Цена ОЧЕНЬ хорошая (2.66₽/мл). ✅ pH правильный. ⚠️ Двойная консервация (Phenoxyethanol + Ethylhexylglycerin). ⚠️ Linalool + Geraniol (фототоксичны). 📌 ВЕРДИКТ: BEST BUDGET CHOICE! PHA для начинающих, хорошая гидратация, отличная цена. Лучше Aravia (дешевле)."
product_029,Royal Caviar Anti-Age,Natura Siberica,2908,мидл,Люкс пилинг-тоник,"Aqua, Butylene Glycol, Dipropylene Glycol, Gluconolactone, Tranexamic Acid, Mandelic Acid, Lactic Acid, Glycolic Acid, Arginine, Caviar Extract, Panthenol, Aralia Mandshurica Leaf/Stem Water, Flavocetraria Nivalis Water, Codium Fragile Extract, Ahnfeltia Plicata Extract, Geranium Sibiricum Extract, Rhododendron Dauricum Flower/Leaf/Stem Extract, Bis-PEG-18 Methyl Ether Dimethyl Silane, PEG-40 Hydrogenated Castor Oil, Parfum, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Sodium Hydroxide","Пилинг (PHA+AHA комбинация, мягкий), осветление (Tranexamic), анти-эйдж, противовоспаление, гидратация","~4.0-4.5 (благодаря Gluconolactone (PHA, pH-буфер) + буферизации)","Benzyl Alcohol (консервант), Parfum, растительные масла из сибирских растений могут быть раздражителями","✅ ОТЛИЧНЫЙ СОСТАВ: PHA+AHA (мягкий), Tranexamic Acid (редко встречается!), сибирские растения. ✅ Tranexamic Acid помогает при пигментации и воспалении. ⚠️ Caviar Extract — маркетинг (1% = микродоза). ⚠️ Benzyl Alcohol (консервант). ⚠️ ДОРОГО (19.39₽/мл). 📌 ВЕРДИКТ: ОТЛИЧНЫЙ СОСТАВ (Tranexamic = плюс), но переплачиваешь за Caviar. Для опытных пользователей, анти-эйдж."
